rep,run,shelf,plate,line,trt,read time,start,end,start count,end count,germinated,notes
1,1,2,59,93-1,0,1/24/16 8:54,101.95,150.4,1,6,5,
1,2,5,157,98-2,0,2/13/16 8:36,59.72,107.6,0,5,5,
1,1,2,69,Johnny's,20,,437.63,Inf,5,10,5,
1,1,4,135,Johnny's,0,1/28/16 8:36,198.32,246.1,0,5,5,
1,1,6,198,Johnny's,0,,439.78,Inf,5,10,5,
1,1,9,324,Johnny's,10,,440.62,Inf,5,10,5,
1,1,4,114,100-1,0,1/28/16 8:36,198.32,246.1,2,6,4,
1,1,7,225,100-1,0,1/28/16 8:47,198.48,246.28,1,5,4,
1,1,8,260,118-2,0,1/30/16 9:56,246.33,295.43,3,7,4,
1,1,4,126,130-1,15,1/24/16 8:59,101.98,150.48,0,4,4,
1,1,4,111,131-1,10,1/22/16 8:29,54,101.98,0,4,4,
1,1,6,195,132-2,0,,439.78,Inf,6,10,4,
1,1,3,82,135-1,15,1/24/16 8:56,101.98,150.43,2,6,4,
1,1,3,82,135-1,15,,437.9,Inf,6,10,4,
1,1,6,181,135-1,10,1/22/16 8:34,54.07,102.07,0,4,4,
1,1,6,212,135-1,0,1/22/16 8:34,54.13,102.07,1,5,4,
1,1,6,212,135-1,0,,439.78,Inf,6,10,4,
1,1,6,204,135-2,0,1/22/16 8:34,54.07,102.07,0,4,4,
1,1,8,287,135-2,20,,440.4,Inf,6,10,4,
1,2,1,35,136-2,10,2/13/16 8:26,60.58,108.43,0,4,4,
1,1,2,65,137-2,20,1/26/16 8:40,150.4,198.17,0,4,4,
1,1,8,258,137-2,15,1/24/16 9:10,102.28,150.67,0,4,4,
1,1,1,36,138-1,15,1/24/16 8:50,101.9,150.33,0,4,4,
1,1,7,234,138-1,0,,440.23,Inf,6,10,4,
1,2,6,190,138-2,10,2/13/16 8:39,59.58,107.48,0,4,4,
1,1,9,317,139-1,15,,440.62,Inf,6,10,4,
1,1,5,176,140-1,10,1/22/16 8:34,54.07,102.07,0,4,4,
1,1,5,176,140-1,10,,438.45,Inf,6,10,4,
1,1,1,33,142-2,0,,437.63,Inf,6,10,4,
1,1,9,309,142-2,10,1/26/16 9:07,150.73,198.62,3,7,4,
1,1,4,141,144-1,0,,437.9,Inf,6,10,4,
1,1,9,298,144-1,10,1/22/16 8:49,54.13,102.32,0,4,4,
1,1,9,298,144-1,10,,440.62,Inf,6,10,4,
1,1,4,119,145-1,10,,437.9,Inf,6,10,4,
1,1,5,165,145-1,15,1/26/16 8:53,150.53,198.38,0,4,4,
1,2,6,181,145-2,10,2/13/16 8:39,59.58,107.48,0,4,4,
1,1,2,47,146-1,10,,437.63,Inf,6,10,4,
