rep,run,shelf,plate,line,trt,type,end,status,germinated,notes
2,3,9,296,125-2,15,E3,493.7166667,1,1,
2,3,9,311,119-2,0,E3,493.7166667,1,1,
2,3,9,313,126-2,15,E3,493.7166667,1,1,
2,3,9,308,208-1,20,E3,493.7166667,1,2,
2,4,7,221,100-1,0,C2,448.77,1,1,
2,4,7,223,156-1,10,E3,448.77,1,1,
2,4,7,227,Johnny's,15,C1,448.77,1,1,
2,4,7,231,202-1,20,E3,448.77,1,1,
2,4,3,89,100-1,10,C2,448.38,1,1,
2,4,3,90,109-1,15,E3,448.38,1,1,
2,4,3,96,149-1,0,E3,448.38,1,1,
2,4,3,99,Johnny's,10,C1,448.38,1,1,
2,4,3,102,125-1,15,E3,448.38,1,2,
2,4,2,62,Johnny's,10,C1,448.37,1,1,
2,4,2,69,92-1,10,E3,448.37,1,1,
2,4,4,135,204-1,10,E3,448.25,1,1,
2,4,4,144,145-2,0,E3,448.25,1,1,
2,4,4,143,Johnny's,20,C1,448.25,1,3,
2,4,5,163,100-1,10,C2,448.22,1,1,
2,4,5,164,204-1,15,E3,448.22,1,1,
2,4,5,180,102-1,20,E3,448.22,1,1,
2,4,5,173,126-1,15,E3,448.22,1,3,
2,4,6,182,104-1,10,E3,448.17,1,1,
2,4,6,183,122-2,15,E3,448.17,1,1,
2,4,6,207,Johnny's,20,C1,448.17,1,1,
2,4,6,192,Johnny's,15,C1,448.17,1,2,
2,3,4,135,219-1,0,E3,448.1333333,1,1,
2,3,4,144,126-2,10,E3,448.1333333,1,2,
2,4,8,269,147-2,0,E3,448.13,1,1,
2,4,8,259,125-1,10,E3,448.13,1,3,
2,4,9,301,Johnny's,15,C1,448.05,1,4,
2,3,1,15,187-2,10,E3,447.9666667,1,1,
2,3,1,29,Johnny's,0,C1,447.9666667,1,1,
2,3,1,13,118-1,0,E3,447.9666667,1,2,
2,3,1,9,Johnny's,15,C1,447.9666667,1,3,
2,3,3,74,100-1,20,C2,447.75,1,1,
2,3,3,102,141-1,20,E3,447.75,1,1,
2,3,2,61,109-2,0,E3,447.7,1,1,
2,3,2,64,219-1,10,E3,447.7,1,3,
2,3,5,158,122-1,10,E3,447.25,1,1,
2,3,5,169,Johnny's,10,C1,447.25,1,1,
2,3,7,220,167-1,10,E3,447.25,1,1,
2,3,7,221,219-1,15,E3,447.25,1,1,
2,3,7,232,104-2,15,E3,447.25,1,1,
2,3,7,244,126-2,0,E3,447.25,1,2,
2,3,8,254,153-1,10,E3,446.6333333,1,1,
2,3,8,262,131-1,10,E3,446.6333333,1,1,
2,3,6,208,100-1,0,C2,446.5333333,1,1,
2,3,6,210,130-2,10,E3,446.5333333,1,1,
2,3,6,201,219-2,0,E3,446.5333333,1,2,
2,3,9,290,Johnny's,20,C1,446.2333333,1,1,
2,3,9,301,156-2,10,E3,446.2333333,1,1,
2,3,9,296,125-2,15,E3,446.2333333,1,2,
2,3,9,313,126-2,15,E3,446.2333333,1,2,
2,4,1,33,122-2,10,E3,402.13,1,2,
2,4,1,23,Johnny's,0,C1,402.13,1,3,
2,4,3,89,100-1,10,C2,401.95,1,1,
2,4,3,99,Johnny's,10,C1,401.95,1,2,
2,4,2,66,208-2,10,E3,401.92,1,1,
2,4,2,49,109-1,0,E3,401.92,1,2,
2,4,4,125,217-2,20,E3,401.8,1,1,
2,4,4,137,Johnny's,10,C1,401.8,1,1,
2,4,6,196,148-2,20,E3,401.68,1,1,
2,4,6,197,208-2,0,E3,401.68,1,1,
2,4,6,207,Johnny's,20,C1,401.68,1,1,
2,4,6,216,92-1,0,E3,401.68,1,1,
2,4,6,185,Johnny's,20,C1,401.68,1,2,
2,4,6,192,Johnny's,15,C1,401.68,1,2,
2,4,9,289,88-1,0,E3,401.57,1,1,
2,4,9,297,107-2,0,E3,401.57,1,1,
2,4,9,301,Johnny's,15,C1,401.57,1,1,
2,4,9,314,204-1,20,E3,401.57,1,1,
2,3,4,138,191-2,0,E3,399.0166667,1,1,
2,3,4,144,126-2,10,E3,399.0166667,1,1,
2,3,4,119,188-2,20,E3,399.0166667,1,2,
2,3,4,135,219-1,0,E3,399.0166667,1,3,
2,3,1,3,Johnny's,10,C1,398.8833333,1,1,
2,3,1,7,104-2,20,E3,398.8833333,1,1,
2,3,1,13,118-1,0,E3,398.8833333,1,1,
2,3,1,17,109-2,10,E3,398.8833333,1,1,
2,3,1,36,208-1,15,E3,398.8833333,1,1,
2,3,1,4,219-2,15,E3,398.8833333,1,2,
2,3,3,74,100-1,20,C2,398.6333333,1,1,
2,3,3,93,145-1,10,E3,398.6333333,1,1,
2,3,3,73,122-1,0,E3,398.6333333,1,2,
2,3,3,95,Johnny's,0,C1,398.6333333,1,2,
2,3,2,43,189-1,0,E3,398.6,1,1,
2,3,2,51,100-1,10,C2,398.6,1,1,
2,3,2,68,107-1,10,E3,398.6,1,1,
2,3,7,232,104-2,15,E3,398.2333333,1,1,
2,3,7,244,126-2,0,E3,398.2333333,1,1,
2,3,7,252,75-2,0,E3,398.2333333,1,1,
2,3,7,236,100-1,10,C2,398.2333333,1,3,
2,3,5,177,100-1,15,C2,398.1833333,1,1,
2,3,8,280,147-1,10,E3,397.6,1,1,
2,3,8,286,156-2,15,E3,397.6,1,1,
2,3,8,253,Johnny's,15,C1,397.6,1,2,
2,3,6,181,122-1,20,E3,397.5333333,1,1,
2,3,6,194,156-2,0,E3,397.5333333,1,1,
2,3,6,203,219-2,20,E3,397.5333333,1,1,
2,3,9,293,204-2,10,E3,397.2333333,1,1,
2,3,9,296,125-2,15,E3,397.2333333,1,1,
2,3,9,299,100-1,10,C2,397.2333333,1,1,
2,3,9,305,218-1,15,E3,397.2333333,1,1,
2,3,9,313,126-2,15,E3,397.2333333,1,2,
2,3,9,301,156-2,10,E3,397.2333333,1,4,
2,4,7,217,100-1,0,C2,354.35,1,1,
2,4,7,221,100-1,0,C2,354.35,1,1,
2,4,7,223,156-1,10,E3,354.35,1,1,
2,4,7,247,109-1,10,E3,354.35,1,1,
2,4,7,250,92-1,15,E3,354.35,1,2,
2,4,1,14,100-1,0,C2,354.1,1,1,
2,4,1,15,152-1,20,E3,354.1,1,1,
2,4,1,30,100-1,20,C2,354.1,1,1,
2,4,3,88,Johnny's,0,C1,353.93,1,1,
2,4,3,99,Johnny's,10,C1,353.93,1,1,
2,4,3,89,100-1,10,C2,353.93,1,2,
2,4,2,62,Johnny's,10,C1,353.88,1,1,
2,4,2,65,Johnny's,0,C1,353.88,1,1,
2,4,2,69,92-1,10,E3,353.88,1,1,
2,4,2,66,208-2,10,E3,353.88,1,2,
2,4,1,35,88-1,10,E3,353.85,1,1,
2,4,4,111,100-2,0,E3,353.8,1,1,
2,4,4,135,204-1,10,E3,353.8,1,1,
2,4,4,144,145-2,0,E3,353.8,1,1,
2,4,5,145,104-1,0,E3,353.75,1,1,
2,4,5,163,100-1,10,C2,353.75,1,1,
2,4,5,170,100-1,10,C2,353.75,1,1,
2,4,5,179,163-2,15,E3,353.75,1,1,
2,4,5,155,102-1,10,E3,353.75,1,3,
2,4,6,182,104-1,10,E3,353.73,1,1,
2,4,6,184,100-2,15,E3,353.73,1,1,
2,4,6,197,208-2,0,E3,353.73,1,1,
2,4,6,207,Johnny's,20,C1,353.73,1,1,
2,4,6,209,125-1,0,E3,353.73,1,1,
2,4,6,216,92-1,0,E3,353.73,1,1,
2,4,6,183,122-2,15,E3,353.73,1,2,
2,4,6,194,168-2,10,E3,353.73,1,2,
2,4,6,191,126-1,10,E3,353.73,1,4,
2,4,8,280,100-1,15,C2,353.72,1,1,
2,4,8,281,202-1,10,E3,353.72,1,1,
2,4,9,293,118-2,10,E3,353.67,1,1,
2,4,9,295,102-1,0,E3,353.67,1,1,
2,3,4,133,118-1,10,E3,350.7666667,1,1,
2,3,4,138,191-2,0,E3,350.7666667,1,1,
2,3,4,144,126-2,10,E3,350.7666667,1,1,
2,3,4,124,100-1,0,C2,350.7666667,1,2,
2,3,4,135,219-1,0,E3,350.7666667,1,2,
2,3,4,112,Johnny's,0,C1,350.7666667,1,3,
2,3,1,7,104-2,20,E3,350.5833333,1,1,
2,3,1,21,185-2,15,E3,350.5833333,1,1,
2,3,1,27,141-1,10,E3,350.5833333,1,1,
2,3,1,34,165-1,10,E3,350.5833333,1,1,
2,3,1,35,136-2,10,E3,350.5833333,1,1,
2,3,1,36,208-1,15,E3,350.5833333,1,1,
2,3,1,17,109-2,10,E3,350.5833333,1,2,
2,3,1,29,Johnny's,0,C1,350.5833333,1,3,
2,3,3,73,122-1,0,E3,350.3833333,1,1,
2,3,3,78,215-1,20,E3,350.3833333,1,1,
2,3,3,82,Johnny's,15,C1,350.3833333,1,1,
2,3,3,86,133-1,10,E3,350.3833333,1,1,
2,3,3,100,140-1,20,E3,350.3833333,1,1,
2,3,3,97,187-2,0,E3,350.3833333,1,2,
2,3,3,104,136-2,15,E3,350.3833333,1,2,
2,3,3,80,Johnny's,20,C1,350.3833333,1,3,
2,3,3,87,219-2,10,E3,350.3833333,1,3,
2,3,3,95,Johnny's,0,C1,350.3833333,1,6,
2,3,2,53,218-1,20,E3,350.3166667,1,1,
2,3,2,66,144-1,0,E3,350.3166667,1,1,
2,3,2,68,107-1,10,E3,350.3166667,1,1,
2,3,2,61,109-2,0,E3,350.3166667,1,2,
2,3,2,37,183-1,20,E3,350.3166667,1,3,
2,3,2,64,219-1,10,E3,350.3166667,1,3,
2,3,5,145,147-1,20,E3,349.8833333,1,1,
2,3,5,158,122-1,10,E3,349.8833333,1,1,
2,3,5,174,184-1,0,E3,349.8833333,1,1,
2,3,5,176,145-1,15,E3,349.8833333,1,1,
2,3,7,227,164-2,15,E3,349.8833333,1,1,
2,3,7,236,100-1,10,C2,349.8833333,1,1,
2,3,7,244,126-2,0,E3,349.8833333,1,1,
2,3,7,228,204-2,0,E3,349.8833333,1,2,
2,3,7,235,104-2,10,E3,349.8833333,1,2,
2,3,7,224,187-2,20,E3,349.8833333,1,3,
2,3,8,274,139-1,15,E3,349.2666667,1,1,
2,3,8,277,Johnny's,10,C1,349.2666667,1,1,
2,3,8,284,179-2,20,E3,349.2666667,1,2,
2,3,8,286,156-2,15,E3,349.2666667,1,3,
2,3,6,194,156-2,0,E3,349.1833333,1,1,
2,3,6,195,169-1,10,E3,349.1833333,1,1,
2,3,6,199,Johnny's,0,C1,349.1833333,1,1,
2,3,6,202,136-1,20,E3,349.1833333,1,1,
2,3,9,296,125-2,15,E3,348.9,1,1,
2,3,9,302,144-2,0,E3,348.9,1,1,
2,3,9,313,126-2,15,E3,348.9,1,1,
2,3,9,299,100-1,10,C2,348.9,1,2,
2,3,9,293,204-2,10,E3,348.9,1,3,
2,4,7,217,100-1,0,C2,304.3,1,1,
2,4,7,219,126-1,20,E3,304.3,1,1,
2,4,7,223,156-1,10,E3,304.3,1,1,
2,4,7,234,173-1,10,E3,304.3,1,1,
2,4,7,250,92-1,15,E3,304.3,1,1,
2,4,1,1,134-2,20,E3,304.1,1,1,
2,4,1,9,124-1,0,E3,304.1,1,1,
2,4,1,23,Johnny's,0,C1,304.1,1,1,
2,4,1,24,100-1,15,C2,304.1,1,1,
2,4,1,29,156-1,0,E3,304.1,1,2,
2,4,3,86,100-1,15,C2,303.92,1,1,
2,4,3,93,173-1,15,E3,303.92,1,1,
2,4,3,85,104-1,20,E3,303.92,1,2,
2,4,2,41,100-1,0,C2,303.88,1,1,
2,4,2,45,141-2,0,E3,303.88,1,1,
2,4,2,65,Johnny's,0,C1,303.88,1,2,
2,4,2,66,208-2,10,E3,303.88,1,3,
2,4,2,49,109-1,0,E3,303.88,1,4,
2,4,1,36,Johnny's,15,C1,303.85,1,2,
2,4,4,122,122-2,0,E3,303.78,1,2,
2,4,4,137,Johnny's,10,C1,303.78,1,3,
2,4,5,145,104-1,0,E3,303.75,1,1,
2,4,5,150,213-2,20,E3,303.75,1,1,
2,4,5,151,190-1,0,E3,303.75,1,1,
2,4,5,156,98-2,0,E3,303.75,1,1,
2,4,5,163,100-1,10,C2,303.75,1,1,
2,4,5,170,100-1,10,C2,303.75,1,1,
2,4,5,171,148-2,0,E3,303.75,1,1,
2,4,5,155,102-1,10,E3,303.75,1,2,
2,4,5,164,204-1,15,E3,303.75,1,3,
2,4,6,215,149-1,20,E3,303.7,1,1,
2,4,8,259,125-1,10,E3,303.7,1,1,
2,4,8,286,91-1,0,E3,303.7,1,1,
2,4,6,194,168-2,10,E3,303.7,1,2,
2,4,6,196,148-2,20,E3,303.7,1,2,
2,4,6,204,118-2,0,E3,303.7,1,2,
2,4,8,262,Johnny's,10,C1,303.7,1,2,
2,4,8,281,202-1,10,E3,303.7,1,3,
2,4,9,295,102-1,0,E3,303.62,1,1,
2,4,9,296,100-2,20,E3,303.62,1,2,
2,3,4,138,191-2,0,E3,302.5833333,1,1,
2,3,4,141,167-1,15,E3,302.5833333,1,1,
2,3,4,144,126-2,10,E3,302.5833333,1,1,
2,3,4,110,187-1,20,E3,302.5833333,1,2,
2,3,4,124,100-1,0,C2,302.5833333,1,2,
2,3,4,133,118-1,10,E3,302.5833333,1,2,
2,3,4,135,219-1,0,E3,302.5833333,1,2,
2,3,4,112,Johnny's,0,C1,302.5833333,1,3,
2,3,4,119,188-2,20,E3,302.5833333,1,3,
2,3,1,3,Johnny's,10,C1,302.4,1,1,
2,3,1,12,183-1,0,E3,302.4,1,1,
2,3,1,16,173-2,0,E3,302.4,1,1,
2,3,1,25,107-1,20,E3,302.4,1,1,
2,3,1,29,Johnny's,0,C1,302.4,1,1,
2,3,1,13,118-1,0,E3,302.4,1,2,
2,3,1,19,163-1,10,E3,302.4,1,2,
2,3,1,27,141-1,10,E3,302.4,1,2,
2,3,1,36,208-1,15,E3,302.4,1,2,
2,3,1,7,104-2,20,E3,302.4,1,3,
2,3,1,17,109-2,10,E3,302.4,1,3,
2,3,1,26,125-2,10,E3,302.4,1,3,
2,3,3,74,100-1,20,C2,302.1833333,1,1,
2,3,3,80,Johnny's,20,C1,302.1833333,1,1,
2,3,3,95,Johnny's,0,C1,302.1833333,1,1,
2,3,3,81,109-2,15,E3,302.1833333,1,2,
2,3,3,82,Johnny's,15,C1,302.1833333,1,2,
2,3,3,87,219-2,10,E3,302.1833333,1,2,
2,3,3,73,122-1,0,E3,302.1833333,1,3,
2,3,3,85,122-1,15,E3,302.1833333,1,3,
2,3,3,107,208-1,0,E3,302.1833333,1,3,
2,3,2,37,183-1,20,E3,302.1333333,1,1,
