,sampleid,line,rep,run,shelf,plate,trt,type,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
71,CanAbasolo1,215-1,1,1,3,96,0,E3,101.9833333,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
72,CanAbasolo1,215-1,2,3,3,78,20,E3,206.75,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
73,CanAbasolo1,215-1,2,3,5,170,10,E3,497.5,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
74,CanAbasolo1,215-1,1,1,3,78,15,E3,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
75,CanAbasolo1,215-1,2,3,3,78,20,E3,157.8666667,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
76,CanAbasolo1,215-1,2,3,9,322,15,E3,156.7,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
77,CanAbasolo1,215-1,1,1,3,96,0,E3,542.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
78,CanAbasolo1,215-1,2,3,9,322,15,E3,497.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
79,CanAbasolo1,215-1,2,3,9,322,15,E3,497.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
80,CanAbasolo1,215-1,2,3,9,322,15,E3,497.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
81,CanAbasolo1,215-1,1,1,3,78,15,E3,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
82,CanAbasolo1,215-1,2,3,9,322,15,E3,156.7,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
83,CanAbasolo1,215-1,1,1,3,78,15,E3,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
84,CanAbasolo1,215-1,1,1,3,78,15,E3,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
85,CanAbasolo1,215-1,1,1,3,96,0,E3,101.9833333,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
86,CanAbasolo1,215-1,2,3,5,170,10,E3,60.45,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
87,CanAbasolo1,215-1,2,3,9,322,15,E3,497.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
88,CanAbasolo1,215-1,2,3,9,322,15,E3,156.7,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
89,CanAbasolo1,215-1,1,1,3,78,15,E3,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
90,CanAbasolo1,215-1,2,3,5,170,10,E3,157.5,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
91,CanAbasolo1,215-1,1,1,3,96,0,E3,246.05,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
92,CanAbasolo1,215-1,1,1,3,78,15,E3,198.2166667,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
93,CanAbasolo1,215-1,2,3,5,170,10,E3,157.5,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
94,CanAbasolo1,215-1,1,1,7,237,10,E3,102.1833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
95,CanAbasolo1,215-1,2,3,9,322,15,E3,156.7,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
96,CanAbasolo1,215-1,2,3,3,78,20,E3,254.85,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
97,CanAbasolo1,215-2,1,1,9,307,15,E3,542.5,0,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
98,CanAbasolo1,215-1,1,1,7,237,10,E3,542.5,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
99,CanAbasolo1,215-1,1,1,7,245,20,E3,542.5,0,5,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
100,CanAbasolo1,215-1,1,1,7,245,20,E3,542.5,0,5,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
101,CanAbasolo1,215-1,1,1,7,237,10,E3,102.1833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
