rep,run,shelf,plate,line,trt,type,end,status,germinated,,
4,7,1,34,118-1,10,,Inf,1,1,,
4,7,1,35,131-1,15,,59.5,1,0,,
4,7,1,35,131-1,15,,107.3333333,1,2,,
4,7,1,35,131-1,15,,153.75,1,0,,
4,7,1,35,131-1,15,,203.6666667,1,0,,
4,7,1,35,131-1,15,,253,1,0,,
4,7,1,35,131-1,15,,298.75,1,2,,
4,7,1,35,131-1,15,,344.75,1,0,,
4,7,1,35,131-1,15,,396,1,0,,
4,7,1,35,131-1,15,,445,1,0,,
4,7,1,35,131-1,15,,502.75,1,0,,
4,7,1,35,131-1,15,,Inf,1,0,,
4,7,1,36,75-2,15,,59.5,1,0,,
4,7,1,36,75-2,15,,107.3333333,1,1,,
4,7,1,36,75-2,15,,153.75,1,0,,
4,7,1,36,75-2,15,,203.6666667,1,0,,
4,7,1,36,75-2,15,,253,1,0,,
4,7,1,36,75-2,15,,298.75,1,0,,
4,7,1,36,75-2,15,,344.75,1,0,,
4,7,1,36,75-2,15,,396,1,0,,
4,7,1,36,75-2,15,,445,1,0,,
4,7,1,36,75-2,15,,501,1,0,,
4,7,1,36,75-2,15,,Inf,1,0,,
4,7,2,37,107-2,15,,59.5,1,0,,
4,7,2,37,107-2,15,,107.3333333,1,0,,
4,7,2,37,107-2,15,,153.75,1,0,,
4,7,2,37,107-2,15,,203.6666667,1,0,,
4,7,2,37,107-2,15,,253,1,1,,
4,7,2,37,107-2,15,,298.75,1,0,,
4,7,2,37,107-2,15,,344.75,1,1,,
4,7,2,37,107-2,15,,396,1,0,,
4,7,2,37,107-2,15,,445,1,0,,
4,7,2,37,107-2,15,,502.75,1,3,,
4,7,2,37,107-2,15,,Inf,1,5,,
4,7,2,38,125-2,15,,59.5,1,0,,
4,7,2,38,125-2,15,,107.3333333,1,0,,
4,7,2,38,125-2,15,,153.75,1,2,,
4,7,2,38,125-2,15,,203.6666667,1,1,,
4,7,2,38,125-2,15,,253,1,0,,
4,7,2,38,125-2,15,,298.75,1,0,,
4,7,2,38,125-2,15,,344.75,1,0,,
4,7,2,38,125-2,15,,396,1,0,,
4,7,2,38,125-2,15,,445,1,0,,
4,7,2,38,125-2,15,,502.75,1,0,,
4,7,2,38,125-2,15,,Inf,1,5,,
4,7,2,39,Johnny's,0,,59.5,1,NA,,
4,7,2,39,Johnny's,0,,107.3333333,1,NA,,
4,7,2,39,Johnny's,0,,153.75,1,NA,,
4,7,2,39,Johnny's,0,,203.6666667,1,NA,,
4,7,2,39,Johnny's,0,,253,1,NA,,
4,7,2,39,Johnny's,0,,298.75,1,NA,,
4,7,2,39,Johnny's,0,,344.75,1,NA,,
4,7,2,39,Johnny's,0,,396,1,NA,,
4,7,2,39,Johnny's,0,,445,1,NA,,
4,7,2,39,Johnny's,0,,501,1,NA,,
4,7,2,39,Johnny's,0,,Inf,1,NA,,
4,7,2,40,100-1,0,,59.5,1,0,,
4,7,2,40,100-1,0,,107.3333333,1,0,,
4,7,2,40,100-1,0,,153.75,1,2,,
4,7,2,40,100-1,0,,203.6666667,1,2,,
4,7,2,40,100-1,0,,253,1,1,,
4,7,2,40,100-1,0,,298.75,1,4,,
4,7,2,40,100-1,0,,344.75,1,0,,
4,7,2,40,100-1,0,,396,1,0,,
4,7,2,40,100-1,0,,445,1,0,,
4,7,2,40,100-1,0,,500,1,0,,
4,7,2,40,100-1,0,,Inf,1,0,,
4,7,2,41,138-2,15,,59.5,1,0,,
4,7,2,41,138-2,15,,107.3333333,1,0,,
4,7,2,41,138-2,15,,153.75,1,1,,
4,7,2,41,138-2,15,,203.6666667,1,1,,
4,7,2,41,138-2,15,,253,1,2,,
4,7,2,41,138-2,15,,298.75,1,1,,
4,7,2,41,138-2,15,,344.75,1,0,,
4,7,2,41,138-2,15,,396,1,0,,
4,7,2,41,138-2,15,,445,1,0,,
4,7,2,41,138-2,15,,501,1,0,,
4,7,2,41,138-2,15,,Inf,1,1,,
4,7,2,43,88-1,20,,59.5,1,0,,
4,7,2,43,88-1,20,,107.3333333,1,0,,
4,7,2,43,88-1,20,,153.75,1,0,,
4,7,2,43,88-1,20,,203.6666667,1,1,,
4,7,2,43,88-1,20,,253,1,0,,
4,7,2,43,88-1,20,,298.75,1,0,,
4,7,2,43,88-1,20,,344.75,1,0,,
