rep,run,shelf,plate,line,trt,start time,read time,hours,count,notes
1,1,1,34,218-2,10,1/18/16 2:30,2/1/16 8:32,342.03,10,
1,1,1,34,218-2,10,1/18/16 2:30,2/3/16 8:23,389.88,10,
1,1,1,34,218-2,10,1/18/16 2:30,2/5/16 8:08,437.63,10,
1,1,1,35,100-1,15,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,35,100-1,15,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,35,100-1,15,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,35,100-1,15,1/18/16 2:30,1/24/16 8:50,150.33,0,
1,1,1,35,100-1,15,1/18/16 2:30,1/26/16 8:37,198.12,2,
1,1,1,35,100-1,15,1/18/16 2:30,1/28/16 8:28,245.97,2,
1,1,1,35,100-1,15,1/18/16 2:30,1/30/16 9:25,294.92,2,
1,1,1,35,100-1,15,1/18/16 2:30,2/1/16 8:32,342.03,2,
1,1,1,35,100-1,15,1/18/16 2:30,2/3/16 8:23,389.88,3,
1,1,1,35,100-1,15,1/18/16 2:30,2/5/16 8:08,437.63,5,
1,1,1,36,138-1,15,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,36,138-1,15,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,36,138-1,15,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,36,138-1,15,1/18/16 2:30,1/24/16 8:50,150.33,4,
1,1,1,36,138-1,15,1/18/16 2:30,1/26/16 8:37,198.12,5,
1,1,1,36,138-1,15,1/18/16 2:30,1/28/16 8:28,245.97,5,
1,1,1,36,138-1,15,1/18/16 2:30,1/30/16 9:25,294.92,5,
1,1,1,36,138-1,15,1/18/16 2:30,2/1/16 8:32,342.03,7,
