,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
254,CanAnil3,77-1,103.7,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
256,CanAnil3,77-1,2549.7,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
257,CanAnil3,77-1,31.2,1,1,1,9,10,150.3,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
259,CanAnil3,77-1,7105,4,7,1,25,10,298.8,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
260,CanAnil3,77-1,2549.6,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
261,CanAnil3,77-1,2549.8,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
262,CanAnil3,77-1,2647,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
265,CanAnil3,77-1,7103.2,4,7,1,25,10,153.8,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
266,CanAnil3,77-1,3173.1,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
269,CanAnil3,77-1,84.1,1,1,1,24,15,101.9,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
274,CanAnil3,77-1,103.8,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
276,CanAnil3,77-1,3173.3,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
277,CanAnil3,77-1,2550,2,3,3,75,10,60.9,1,1,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
279,CanAnil3,77-1,31.1,1,1,1,9,10,150.3,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
280,CanAnil3,77-1,3173,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
