"","sampleid","line","rep","run","shelf","plate","trt","type","end","status","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"108","CanAbasolo2","216-1",1,1,9,316,10,"E3",542.5,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"109","CanAbasolo2","216-1",1,1,9,316,10,"E3",150.7333333,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"110","CanAbasolo2","216-1",1,1,3,98,20,"E3",198.2166667,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"111","CanAbasolo2","216-1",2,3,9,312,15,"E3",156.7,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"112","CanAbasolo2","216-1",1,1,6,216,0,"E3",102.0666667,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"113","CanAbasolo2","216-1",1,1,3,98,20,"E3",246.05,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"114","CanAbasolo2","216-1",2,3,7,241,20,"E3",157.6166667,1,5,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"115","CanAbasolo2","216-1",1,1,3,98,20,"E3",198.2166667,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"116","CanAbasolo2","216-1",2,3,7,241,20,"E3",157.6166667,1,5,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"117","CanAbasolo2","216-1",1,1,9,291,15,"E3",342.4833333,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"118","CanAbasolo2","216-1",1,1,3,98,20,"E3",198.2166667,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"119","CanAbasolo2","216-1",2,3,9,312,15,"E3",156.7,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"120","CanAbasolo2","216-1",1,1,9,291,15,"E3",102.3166667,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"121","CanAbasolo2","216-1",2,3,8,287,0,"E3",205.8,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"122","CanAbasolo2","216-1",1,1,3,98,20,"E3",198.2166667,1,4,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"123","CanAbasolo2","216-1",2,3,9,312,15,"E3",205.45,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"124","CanAbasolo2","216-1",1,1,3,98,20,"E3",295.05,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"125","CanAbasolo2","216-1",2,3,7,241,20,"E3",157.6166667,1,5,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"126","CanAbasolo2","216-1",2,3,7,241,20,"E3",497.5,0,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"127","CanAbasolo2","216-1",1,1,9,291,15,"E3",542.5,0,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"128","CanAbasolo2","216-1",2,3,4,123,10,"E3",255.2333333,1,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"129","CanAbasolo2","216-1",1,1,6,216,0,"E3",150.5666667,1,1,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"130","CanAbasolo2","216-1",2,3,7,241,20,"E3",497.5,0,2,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"131","CanAbasolo2","216-1",1,1,9,291,15,"E3",150.7333333,1,3,NA,"14CAg216-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"132","CanAnil1","75-1",1,1,2,54,15,"E3",245.9666667,1,1,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"133","CanAnil1","75-1",1,1,5,157,20,"E3",542.5,0,1,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"134","CanAnil1","75-1",1,1,2,54,15,"E3",198.1666667,1,3,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"135","CanAnil1","75-1",1,1,1,3,10,"E3",245.9666667,1,2,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"136","CanAnil1","75-1",1,1,2,54,15,"E3",542.5,0,1,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"137","CanAnil1","75-1",2,3,1,11,0,"E3",206.85,1,6,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"138","CanAnil1","75-1",1,1,2,54,15,"E3",342.1333333,1,2,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"139","CanAnil1","75-1",1,1,1,22,0,"E3",198.1166667,1,4,NA,"14CRo75-1","11/10/14","CRo",4,"wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
