,sampleid,line,rep,run,shelf,plate,trt,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
74,CanAbasolo1,215-1,4,8,2,56,20,308.1666667,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
75,CanAbasolo1,215-1,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
76,CanAbasolo1,215-1,3,6,1,17,0,312.03,0,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
77,CanAbasolo1,215-1,4,8,2,56,20,211,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
78,CanAbasolo1,215-1,3,6,1,17,0,264.06,0,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
79,CanAbasolo1,215-1,1,1,3,78,15,150.4333333,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
80,CanAbasolo1,215-1,2,3,8,269,0,157.05,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
81,CanAbasolo1,215-1,4,8,6,207,0,211,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
82,CanAbasolo1,215-1,3,6,7,248,10,527.81,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
83,CanAbasolo1,215-1,1,1,7,245,20,198.4833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
84,CanAbasolo1,215-2,1,1,7,228,0,102.1833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
85,CanAbasolo1,215-2,2,3,4,137,10,158.2,1,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
86,CanAbasolo1,215-2,2,3,4,132,0,158.2,1,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
87,CanAbasolo1,215-2,4,8,8,285,0,211,1,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
88,CanAbasolo1,215-2,2,3,4,132,0,158.2,1,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
89,CanAbasolo1,215-2,1,1,4,125,10,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
90,CanAbasolo1,215-2,2,3,4,132,0,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
91,CanAbasolo1,215-2,2,3,4,111,20,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
92,CanAbasolo1,215-2,2,3,4,121,15,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
93,CanAbasolo1,215-2,1,1,7,228,0,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
94,CanAbasolo1,215-2,1,1,4,125,10,150.4833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
95,CanAbasolo1,215-2,2,3,4,121,15,158.2,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
96,CanAbasolo1,215-2,2,3,4,137,10,158.2,1,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
97,CanAbasolo1,215-2,2,3,4,111,20,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
98,CanAbasolo1,215-2,2,3,4,137,10,158.2,1,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
99,CanAbasolo1,215-2,2,3,4,137,10,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
100,CanAbasolo1,215-2,4,8,1,10,20,114.25,0,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
101,CanAbasolo1,215-2,2,3,4,111,20,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
102,CanAbasolo1,215-2,1,1,4,125,10,150.4833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
103,CanAbasolo1,215-2,2,3,4,111,20,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
104,CanAbasolo1,215-2,2,3,4,137,10,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
105,CanAbasolo1,215-2,4,8,1,10,20,404,0,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
106,CanAbasolo1,215-1,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
