"","rep","run","shelf","plate","line","trt","end","status","viable","number"
"131",1,1,1,34,"218-2",10,150.3333333,1,1,7
"131.1",1,1,1,34,"218-2",10,150.3333333,1,1,7
"131.2",1,1,1,34,"218-2",10,150.3333333,1,1,7
"131.3",1,1,1,34,"218-2",10,150.3333333,1,1,7
"131.4",1,1,1,34,"218-2",10,150.3333333,1,1,7
"131.5",1,1,1,34,"218-2",10,150.3333333,1,1,7
"131.6",1,1,1,34,"218-2",10,150.3333333,1,1,7
"132",1,1,1,34,"218-2",10,198.1166667,1,1,1
"133",1,1,1,35,"100-1",15,198.1166667,1,1,2
"133.1",1,1,1,35,"100-1",15,198.1166667,1,1,2
"134",1,1,1,35,"100-1",15,389.8833333,1,1,1
"135",1,1,1,35,"100-1",15,437.6333333,1,1,2
"135.1",1,1,1,35,"100-1",15,437.6333333,1,1,2
"136",1,1,1,35,"100-1",15,542.5,0,1,1
"137",1,1,1,35,"100-1",15,542.5,0,0,3
"137.1",1,1,1,35,"100-1",15,542.5,0,0,3
"137.2",1,1,1,35,"100-1",15,542.5,0,0,3
"138",1,1,1,36,"138-1",15,150.3333333,1,1,4
"138.1",1,1,1,36,"138-1",15,150.3333333,1,1,4
"138.2",1,1,1,36,"138-1",15,150.3333333,1,1,4
"138.3",1,1,1,36,"138-1",15,150.3333333,1,1,4
"139",1,1,1,36,"138-1",15,198.1166667,1,1,1
"140",1,1,1,36,"138-1",15,342.0333333,1,1,2
"140.1",1,1,1,36,"138-1",15,342.0333333,1,1,2
"141",1,1,1,36,"138-1",15,542.5,0,0,3
"141.1",1,1,1,36,"138-1",15,542.5,0,0,3
"141.2",1,1,1,36,"138-1",15,542.5,0,0,3
"142",1,1,2,37,"165-1",10,101.95,1,1,2
"142.1",1,1,2,37,"165-1",10,101.95,1,1,2
"143",1,1,2,37,"165-1",10,150.4,1,1,2
"143.1",1,1,2,37,"165-1",10,150.4,1,1,2
"144",1,1,2,37,"165-1",10,245.9666667,1,1,1
"145",1,1,2,37,"165-1",10,542.5,0,1,4
"145.1",1,1,2,37,"165-1",10,542.5,0,1,4
"145.2",1,1,2,37,"165-1",10,542.5,0,1,4
"145.3",1,1,2,37,"165-1",10,542.5,0,1,4
"146",1,1,2,37,"165-1",10,542.5,0,0,1
"147",1,1,2,38,"100-1",15,294.9833333,1,1,1
"148",1,1,2,38,"100-1",15,389.8833333,1,1,1
"149",1,1,2,38,"100-1",15,542.5,0,1,4
"149.1",1,1,2,38,"100-1",15,542.5,0,1,4
"149.2",1,1,2,38,"100-1",15,542.5,0,1,4
"149.3",1,1,2,38,"100-1",15,542.5,0,1,4
