sampleid,line,X,rep,run,shelf,plate,trt,end,status,viable,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
CanAnil1,75-1,7441,4,7,5,179,10,503,0,0,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_179
CanAnil1,75-1,7079.3,4,7,2,50,0,253,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,2538,2,3,1,8,15,255,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_8
CanAnil1,75-1,212.1,1,1,2,54,15,342.1,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,2540,2,3,1,8,15,158,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_8
CanAnil1,75-1,5807.1,3,5,6,207,10,207,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,5807,3,5,6,207,10,207,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,11,1,1,1,3,10,150.3,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,6930.6,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,85,1,1,1,22,0,389.9,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,5484.2,3,5,3,86,15,109.5,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-1,626,1,1,5,157,20,542.5,0,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_157
CanAnil1,75-1,213,1,1,2,54,15,542.5,0,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,212,1,1,2,54,15,342.1,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,5808,3,5,6,207,10,254,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,5486.1,3,5,3,86,15,207,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-1,2540.3,2,3,1,8,15,158,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_8
CanAnil1,75-1,84.1,1,1,1,22,0,246,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,5484,3,5,3,86,15,109.5,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-2,1534.1,1,2,3,79,20,156,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1824.3,1,2,5,150,15,107.6,1,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-2,1824,1,2,5,150,15,107.6,1,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-2,1539,1,2,3,79,20,542.5,0,1,1,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1535,1,2,3,79,20,206.1,1,1,2,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1826.1,1,2,5,150,15,205.8,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-1,84,1,1,1,22,0,246,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,83.2,1,1,1,22,0,198.1,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,5805.1,3,5,6,207,10,109.5,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,5486,3,5,3,86,15,207,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-1,7437,4,7,5,179,10,107.3,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_179
CanAnil1,75-1,83,1,1,1,22,0,198.1,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,7439.1,4,7,5,179,10,396,1,1,5,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_179
CanAnil1,75-2,1534,1,2,3,79,20,156,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1824.1,1,2,5,150,15,107.6,1,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-2,1534.2,1,2,3,79,20,156,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1536,1,2,3,79,20,253.8,1,1,1,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1538,1,2,3,79,20,395.9,1,1,1,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1534.3,1,2,3,79,20,156,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1824.2,1,2,5,150,15,107.6,1,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-2,1535.1,1,2,3,79,20,206.1,1,1,2,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1537,1,2,3,79,20,302.9,1,1,1,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_79
CanAnil1,75-2,1826.3,1,2,5,150,15,205.8,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
