"","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use"
"107","CanAbasolo1","215-1",5002.6,3,6,3,94,20,528,0,0,8,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"108","CanAbasolo1","215-1",4465.1,2,3,9,322,15,156.7,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"109","CanAbasolo1","215-1",8403,4,8,6,207,0,211,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"110","CanAbasolo1","215-1",2796.2,2,3,3,78,20,157.8666667,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"111","CanAbasolo1","215-1",5002,3,6,3,94,20,528,0,0,8,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"112","CanAbasolo1","215-1",8308.3,4,8,5,176,15,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"113","CanAbasolo1","215-1",4308.1,2,3,8,269,0,496,0,0,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"114","CanAbasolo1","215-1",4307.2,2,3,8,269,0,496,0,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"115","CanAbasolo1","215-1",4308,2,3,8,269,0,496,0,0,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"116","CanAbasolo1","215-1",7927,4,8,2,56,20,163.5,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"117","CanAbasolo1","215-1",4465.5,2,3,9,322,15,156.7,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"118","CanAbasolo1","215-1",8635.1,4,8,8,276,10,114.25,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
