,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
68,CanAbasolo1,215-1,2818.2,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
69,CanAbasolo1,215-1,5954,3,6,3,94,20,528,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
70,CanAbasolo1,215-1,799.3,1,1,7,237,10,102.1833333,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
71,CanAbasolo1,215-1,2555,2,3,3,78,20,350.3833333,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
72,CanAbasolo1,215-1,799,1,1,7,237,10,102.1833333,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
73,CanAbasolo1,215-1,6669.2,3,6,7,248,10,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
74,CanAbasolo1,215-1,2818,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
75,CanAbasolo1,215-1,2818.4,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
76,CanAbasolo1,215-1,6669.3,3,6,7,248,10,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
77,CanAbasolo1,215-1,2819.1,2,3,5,170,10,60.45,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
78,CanAbasolo1,215-1,8867.2,4,8,8,276,10,114.25,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
79,CanAbasolo1,215-1,330.1,1,1,3,96,0,150.4333333,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
80,CanAbasolo1,215-1,2819,2,3,5,170,10,60.45,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
81,CanAbasolo1,215-1,2557,2,3,3,78,20,206.75,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
82,CanAbasolo1,215-1,2817,2,3,5,170,10,494.6,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
83,CanAbasolo1,215-1,2820,2,3,5,170,10,496,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
84,CanAbasolo1,215-1,5952.3,3,6,3,94,20,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
85,CanAbasolo1,215-1,332.3,1,1,3,96,0,542.5,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
86,CanAbasolo1,215-1,8867,4,8,8,276,10,114.25,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
87,CanAbasolo1,215-1,2556,2,3,3,78,20,254.85,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
88,CanAbasolo1,215-1,8620.2,4,8,6,207,0,211,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
89,CanAbasolo1,215-1,261.1,1,1,3,78,15,198.2166667,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
90,CanAbasolo1,215-1,5684,3,6,2,37,15,167.99,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
91,CanAbasolo1,215-1,826,1,1,7,245,20,198.4833333,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
92,CanAbasolo1,215-1,262,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
93,CanAbasolo1,215-1,8617,4,8,6,207,0,211,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
94,CanAbasolo1,215-1,6665,3,6,7,248,10,120.03,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
95,CanAbasolo1,215-1,5686.1,3,6,2,37,15,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
96,CanAbasolo1,215-1,8621.1,4,8,6,207,0,356.75,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
97,CanAbasolo1,215-1,2558.2,2,3,3,78,20,157.8666667,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
98,CanAbasolo1,215-1,262.6,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
99,CanAbasolo1,215-1,5585.2,3,6,1,17,0,120.03,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
100,CanAbasolo1,215-1,803.2,1,1,7,237,10,542.5,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
101,CanAbasolo1,215-1,3103,2,3,8,269,0,157.05,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
102,CanAbasolo1,215-1,8621,4,8,6,207,0,356.75,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
103,CanAbasolo1,215-1,3253.1,2,3,9,322,15,496,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
104,CanAbasolo1,215-1,5585,3,6,1,17,0,120.03,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
105,CanAbasolo1,215-1,3252,2,3,9,322,15,156.7,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
106,CanAbasolo1,215-1,8098,4,8,2,56,20,163.5,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
107,CanAbasolo1,215-1,5684.1,3,6,2,37,15,167.99,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
