,X.1,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
3396,3396,CanEjutla1,190-1,487.1,1,1,4,140,0,150.5,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3400,3400,CanEjutla1,190-1,488.1,1,1,4,140,0,198.3,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3401,3401,CanEjutla1,190-1,491,1,1,4,140,0,390,1,1,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3404,3404,CanEjutla1,190-1,489,1,1,4,140,0,246.1,1,3,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3406,3406,CanEjutla1,190-1,885,1,1,8,262,10,342.5,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3415,3415,CanEjutla1,190-1,883,1,1,8,262,10,150.7,1,4,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3422,3422,CanEjutla1,190-1,488,1,1,4,140,0,198.3,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3423,3423,CanEjutla1,190-1,883.3,1,1,8,262,10,150.7,1,4,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3431,3431,CanEjutla1,190-1,487,1,1,4,140,0,150.5,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3433,3433,CanEjutla1,190-1,490,1,1,4,140,0,342.3,1,1,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_140
3434,3434,CanEjutla1,190-1,884.1,1,1,8,262,10,198.6,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3441,3441,CanEjutla1,190-1,883.1,1,1,8,262,10,150.7,1,4,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3482,3482,CanEjutla1,190-2,7957.1,4,8,1,18,15,Inf,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3484,3484,CanEjutla1,190-2,7956.4,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3494,3494,CanEjutla1,190-2,9079,4,8,9,323,20,Inf,0,1,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3495,3495,CanEjutla1,190-2,9078,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3501,3501,CanEjutla1,190-2,9078.1,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3502,3502,CanEjutla1,190-2,9078.5,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3506,3506,CanEjutla1,190-2,9078.6,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3508,3508,CanEjutla1,190-2,9078.3,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3514,3514,CanEjutla1,190-2,7957,4,8,1,18,15,Inf,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3519,3519,CanEjutla1,190-2,7956.3,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3522,3522,CanEjutla1,190-2,9078.7,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3530,3530,CanEjutla1,190-2,9078.2,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
