"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"967",967,"CanAnil3","77-1",84.1,1,"1",1,24,15,101.9,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"972",972,"CanAnil3","77-1",103.8,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"974",974,"CanAnil3","77-1",3173.3,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
"975",975,"CanAnil3","77-1",2550,2,"3",3,75,10,60.9,1,1,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"977",977,"CanAnil3","77-1",31.1,1,"1",1,9,10,150.3,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"978",978,"CanAnil3","77-1",3173,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
"979",979,"CanAnil3","77-1",3173.4,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
"982",982,"CanAnil3","77-2",7744,4,"7",6,202,15,153.8,1,1,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"985",985,"CanAnil3","77-2",2677.1,2,"3",4,120,20,158.2,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_120"
"987",987,"CanAnil3","77-2",2067,1,"2",8,265,0,107.2,1,5,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_265"
"989",989,"CanAnil3","77-2",5317.3,3,"5",8,278,15,109.5,1,7,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_278"
"990",990,"CanAnil3","77-2",7745.4,4,"7",6,202,15,203.7,1,6,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"991",991,"CanAnil3","77-2",2067.1,1,"2",8,265,0,107.2,1,5,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_265"
"997",997,"CanAnil3","77-2",7745.5,4,"7",6,202,15,203.7,1,6,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"999",999,"CanAnil3","77-2",5317.6,3,"5",8,278,15,109.5,1,7,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_278"
"1000",1000,"CanAnil3","77-2",1324.1,1,"2",2,68,20,108.2,1,2,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_68"
"1003",1003,"CanAnil3","77-2",2067.2,1,"2",8,265,0,107.2,1,5,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_265"
"1005",1005,"CanAnil3","77-2",2677,2,"3",4,120,20,158.2,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_120"
"1006",1006,"CanAnil3","77-1",30.4,1,"1",1,9,10,101.9,1,7,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"1007",1007,"CanAnil3","77-1",103.1,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"1009",1009,"CanAnil3","77-1",2549.3,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"1010",1010,"CanAnil3","77-1",2647.6,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"1012",1012,"CanAnil3","77-1",2647.1,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"1014",1014,"CanAnil3","77-1",2549.4,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"1018",1018,"CanAnil3","77-1",30,1,"1",1,9,10,101.9,1,7,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"1020",1020,"CanAnil3","77-1",2549.2,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"1022",1022,"CanAnil3","77-1",85.1,1,"1",1,24,15,150.3,1,5,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_24"
"1023",1023,"CanAnil3","77-1",7102,4,"7",1,25,10,107.3,1,1,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"1024",1024,"CanAnil3","77-1",7105.1,4,"7",1,25,10,298.8,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"1026",1026,"CanAnil3","77-1",3173.5,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
"1027",1027,"CanAnil3","77-1",2647.3,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"1028",1028,"CanAnil3","77-1",2647.8,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"1031",1031,"CanAnil3","77-1",30.1,1,"1",1,9,10,101.9,1,7,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"1033",1033,"CanAnil3","77-1",30.6,1,"1",1,9,10,101.9,1,7,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"1034",1034,"CanAnil3","77-1",2549,2,"3",3,75,10,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_75"
"1035",1035,"CanAnil3","77-1",103.9,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"1041",1041,"CanAnil3","77-1",2647.2,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
