"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"480",480,"CanAnil1","75-1",6930.1,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"481",481,"CanAnil1","75-1",7714.4,4,"7",9,305,20,503,0,1,8,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_305"
"482",482,"CanAnil1","75-1",2550.1,2,"3",1,11,0,255,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"483",483,"CanAnil1","75-1",10,1,"1",1,3,10,101.9,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"484",484,"CanAnil1","75-1",625,1,"1",5,157,20,390.2,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"485",485,"CanAnil1","75-1",6930.2,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"486",486,"CanAnil1","75-1",7079,4,"7",2,50,0,253,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"487",487,"CanAnil1","75-1",3123.3,2,"3",6,184,10,156.8,1,1,5,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_184"
"488",488,"CanAnil1","75-1",2540.4,2,"3",1,8,15,158,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"489",489,"CanAnil1","75-1",3124,2,"3",6,184,10,496,0,0,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_184"
"490",490,"CanAnil1","75-1",7440,4,"7",5,179,10,445,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"491",491,"CanAnil1","75-1",84.2,1,"1",1,22,0,246,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"492",492,"CanAnil1","75-1",3123.1,2,"3",6,184,10,156.8,1,1,5,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_184"
"493",493,"CanAnil1","75-1",7439.2,4,"7",5,179,10,396,1,1,5,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"495",495,"CanAnil1","75-1",7438,4,"7",5,179,10,344.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"496",496,"CanAnil1","75-1",7439,4,"7",5,179,10,396,1,1,5,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"497",497,"CanAnil1","75-1",7438.1,4,"7",5,179,10,344.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"498",498,"CanAnil1","75-1",5808.1,3,"5",6,207,10,254,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"499",499,"CanAnil1","75-1",2541,2,"3",1,8,15,496,0,0,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"500",500,"CanAnil1","75-1",622,1,"1",5,157,20,198.4,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"501",501,"CanAnil1","75-1",2539,2,"3",1,8,15,206.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"502",502,"CanAnil1","75-1",623.1,1,"1",5,157,20,295.1,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"503",503,"CanAnil1","75-1",7714.6,4,"7",9,305,20,503,0,1,8,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_305"
"504",504,"CanAnil1","75-1",2539.1,2,"3",1,8,15,206.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"506",506,"CanAnil1","75-1",6930.8,4,"7",1,7,15,503,0,1,9,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"508",508,"CanAnil1","75-1",5485,3,"5",3,86,15,156.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_86"
"509",509,"CanAnil1","75-1",623.2,1,"1",5,157,20,295.1,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"510",510,"CanAnil1","75-1",14,1,"1",1,3,10,542.5,0,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
