"","X","sampleid","line","rep","run","shelf","plate","trt","read.time","start","end","start.count","end.count","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"55",2212,"CanStaCruz14","173-1",1,1,1,6,10,"1/28/16 8:28",198.12,245.97,6,6,0,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"56",2203,"CanStaCruz14","173-1",1,1,1,6,10,"1/30/16 9:25",245.97,294.92,6,6,0,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"57",2210,"CanStaCruz14","173-1",1,1,1,6,10,"2/1/16 8:32",294.92,342.03,6,6,0,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"58",2209,"CanStaCruz14","173-1",1,1,1,6,10,"2/3/16 8:23",342.03,389.88,6,6,0,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"59",2236,"CanStaCruz14","173-1",1,1,1,6,10,"2/5/16 8:08",389.88,437.63,6,6,0,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"60",2214,"CanStaCruz14","173-1",1,1,1,6,10,"",437.63,Inf,6,10,4,"","14CAg173-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"61",1280,"CanMani11","208-1",1,1,1,7,15,"1/20/16 8:30",0,54,0,0,0,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"62",1226,"CanMani11","208-1",1,1,1,7,15,"1/22/16 8:24",54,101.9,0,0,0,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"63",1225,"CanMani11","208-1",1,1,1,7,15,"1/24/16 8:50",101.9,150.33,0,0,0,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"64",1229,"CanMani11","208-1",1,1,1,7,15,"1/26/16 8:37",150.33,198.12,0,0,0,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"65",1227,"CanMani11","208-1",1,1,1,7,15,"1/28/16 8:28",198.12,245.97,0,0,0,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"66",1221,"CanMani11","208-1",1,1,1,7,15,"1/30/16 9:25",245.97,294.92,0,1,1,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"67",1231,"CanMani11","208-1",1,1,1,7,15,"2/1/16 8:32",294.92,342.03,1,1,0,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"68",1298,"CanMani11","208-1",1,1,1,7,15,"2/3/16 8:23",342.03,389.88,1,4,3,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"69",1224,"CanMani11","208-1",1,1,1,7,15,"2/5/16 8:08",389.88,437.63,4,4,0,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"70",1295,"CanMani11","208-1",1,1,1,7,15,"",437.63,Inf,4,10,6,"","14Par208-1","11/10/14","Par",21,"Yucatan","Par_48","landrace","Paradito","Backyard",""
"71",173,"CanAnil3","77-1",1,1,1,9,10,"1/20/16 8:30",0,54,0,0,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"72",158,"CanAnil3","77-1",1,1,1,9,10,"1/22/16 8:24",54,101.9,0,7,7,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"73",164,"CanAnil3","77-1",1,1,1,9,10,"1/24/16 8:50",101.9,150.33,7,10,3,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"74",156,"CanAnil3","77-1",1,1,1,9,10,"1/26/16 8:37",150.33,198.12,10,10,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"75",157,"CanAnil3","77-1",1,1,1,9,10,"1/28/16 8:28",198.12,245.97,10,10,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"76",168,"CanAnil3","77-1",1,1,1,9,10,"1/30/16 9:25",245.97,294.92,10,10,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"77",183,"CanAnil3","77-1",1,1,1,9,10,"2/1/16 8:32",294.92,342.03,10,10,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"78",160,"CanAnil3","77-1",1,1,1,9,10,"2/3/16 8:23",342.03,389.88,10,10,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
