,X,sampleid,line,rep,run,shelf,plate,trt,type,concatenate,start.day,start.time,start.day.time,read.day.time,start,end,start.count,end.count,germinated,notes,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
126,149,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,0,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
124,131,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,0,1,1,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
129,129,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,1,5,4,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
128,130,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,5,8,3,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
125,150,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,8,8,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
130,151,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,8,8,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
127,132,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,8,9,1,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
123,152,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,9,9,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
122,121,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,9,10,1,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
1561,1613,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1566,1610,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,5,5,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1564,1612,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,5,7,2,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1569,1611,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,7,10,3,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1568,1587,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,10,10,0,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1565,1588,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,10,10,0,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1570,1577,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,10,10,0,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1567,1578,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,10,10,0,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
1563,1579,CanLabor4,137-2,1,1,1,23,0,E3,0+E3+Central Valleys,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,10,10,0,,14CAg137-2,11/10/14,CAg,13,Central Valleys,CAg_25,landrace,Chile de Agua,Plantation,Fresh
609,621,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
614,622,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,0,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
612,620,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,0,2,2,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
617,638,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,2,2,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
616,639,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,2,2,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
613,640,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,2,2,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
618,641,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,2,2,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
615,642,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,2,2,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
611,630,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,2,2,0,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
610,619,CanCoat4,129-1,1,1,1,28,0,E3,0+E3+Central Valleys,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,2,10,8,,14CAg129-1,11/10/14,CAg,5,Central Valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
257,290,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
262,291,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,0,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
260,289,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,0,10,NA,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
265,292,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
264,293,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
261,294,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
266,295,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
263,296,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
259,297,CanAnil3,77-1,1,1,1,29,0,E3,0+E3+W Coast,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,10,10,0,,14CRo77-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
2089,2107,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2094,2119,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,1,1,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2092,2118,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,1,3,2,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2097,2117,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,3,6,3,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2096,2108,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,6,6,0,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2093,2128,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,6,6,0,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2098,2123,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,6,6,0,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2095,2120,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,6,6,0,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2091,2121,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,6,6,0,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
2090,2116,CanLobera3,142-2,1,1,1,33,0,E3,0+E3+Central Valleys,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,6,10,4,,14CAg142-2,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
3793,3814,CanRose3,122-2,1,1,2,48,0,E3,0+E3+E Coast,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CRo122-2,11/10/14,CRo,33,E Coast,CRo_18,landrace,Costeno Rojo,Plantation,Dry
3798,3815,CanRose3,122-2,1,1,2,48,0,E3,0+E3+E Coast,1/20/16,8:30,1/18/16 2:30,1/22/16 8:27,54,101.95,0,0,0,,14CRo122-2,11/10/14,CRo,33,E Coast,CRo_18,landrace,Costeno Rojo,Plantation,Dry
3796,3813,CanRose3,122-2,1,1,2,48,0,E3,0+E3+E Coast,1/22/16,8:27,1/18/16 2:30,1/24/16 8:54,101.95,150.4,0,1,1,,14CRo122-2,11/10/14,CRo,33,E Coast,CRo_18,landrace,Costeno Rojo,Plantation,Dry
3801,3816,CanRose3,122-2,1,1,2,48,0,E3,0+E3+E Coast,1/24/16,8:54,1/18/16 2:30,1/26/16 8:40,150.4,198.1666667,1,1,0,,14CRo122-2,11/10/14,CRo,33,E Coast,CRo_18,landrace,Costeno Rojo,Plantation,Dry
3800,3810,CanRose3,122-2,1,1,2,48,0,E3,0+E3+E Coast,1/26/16,8:40,1/18/16 2:30,1/28/16 8:28,198.1666667,245.9666667,1,6,5,,14CRo122-2,11/10/14,CRo,33,E Coast,CRo_18,landrace,Costeno Rojo,Plantation,Dry
3797,3811,CanRose3,122-2,1,1,2,48,0,E3,0+E3+E Coast,1/28/16,8:28,1/18/16 2:30,1/30/16 9:29,245.9666667,294.9833333,6,8,2,,14CRo122-2,11/10/14,CRo,33,E Coast,CRo_18,landrace,Costeno Rojo,Plantation,Dry
3802,3830,CanRose3,122-2,1,1,2,48,0,E3,0+E3+E Coast,1/30/16,9:29,1/18/16 2:30,2/1/16 8:38,294.9833333,342.1333333,8,8,0,,14CRo122-2,11/10/14,CRo,33,E Coast,CRo_18,landrace,Costeno Rojo,Plantation,Dry
